texte,niveau,category,classification,risk_decision,origin,year,month,maroc_relevant,source
"Salmonella spp. in sesame seeds from Nigeria | nuts, nut products and seeds | Salmonella   - {pathogenic micro-organisms} | Nigeria",CRITIQUE,"nuts, nut products and seeds",border rejection notification,serious,Nigeria,2026,5,1,RASFF
"Cadmium in rice from Italy | cereals and bakery products | cadmium   - {heavy metals} | Hungary,Italy",CRITIQUE,cereals and bakery products,alert notification,serious,"Hungary,Italy",2023,9,1,RASFF
"Sickness after taking dietary (protein) supplements, from Sweden | dietetic foods, food supplements and fortified foods |  | Sweden",ATTENTION,"dietetic foods, food supplements and fortified foods",information notification for follow-up,potentially serious,Sweden,2023,9,1,RASFF
"Foreign bodies (stones) in watermelon seeds from Libanon, via Germany | nuts, nut products and seeds | stones   - {foreign bodies} | Lebanon",CRITIQUE,"nuts, nut products and seeds",alert notification,serious,Lebanon,2023,9,1,RASFF
"SESAME SEEDS FROM SUDAN WITH ABSENCE OF ORIGINAL CERTIFCATES | nuts, nut products and seeds |  | Sudan",CRITIQUE,"nuts, nut products and seeds",border rejection notification,not serious,Sudan,2023,9,1,RASFF
"SESAME SEEDS FROM ETHIOPIA WITH INCORECT OFFICIAL CERTIFICATES | nuts, nut products and seeds |  | Ethiopia",CRITIQUE,"nuts, nut products and seeds",border rejection notification,potential risk,Ethiopia,2023,9,1,RASFF
Execeede RPA value for the sum  of malachite green and luecomalachite green in frozen Catfish fillets from Vietnam | fish and fish products | leucomalachite green prohibited substance - {residues of veterinary medicinal products} | Vietnam,CRITIQUE,fish and fish products,border rejection notification,serious,Vietnam,2023,9,1,RASFF
mercury in fresh swordfish | fish and fish products | mercury   - {heavy metals} | ,CRITIQUE,fish and fish products,information notification for attention,serious,,2023,9,1,RASFF
"Atropine and scopolamine in organic whole grain teff flour from Germany | cereals and bakery products | atropine   - {natural toxins (other)},scopolamine   - {natural toxins (other)} | Germany",CRITIQUE,cereals and bakery products,alert notification,serious,Germany,2023,9,1,RASFF
"High content of vitamin B6 in food supplement from Germany | dietetic foods, food supplements and fortified foods | vitamin B6  too high intake - {composition} | Germany",CRITIQUE,"dietetic foods, food supplements and fortified foods",information notification for attention,serious,Germany,2023,9,1,RASFF
"Acephate and Methamidophos in green beans from Kenya | fruits and vegetables | acephate  unauthorised substance - {pesticide residues},methamidophos  unauthorised substance - {pesticide residues} | ",CRITIQUE,fruits and vegetables,border rejection notification,not serious,,2023,9,1,RASFF
"Salmonella spp. in walnut kernels from the USA | nuts, nut products and seeds | Salmonellen   - {pathogenic micro-organisms} | United States",CRITIQUE,"nuts, nut products and seeds",information notification for attention,serious,United States,2023,9,1,RASFF
Clorpirifos en aceitunas de mesa de Marruecos/Chlorpyrifos in olives from Morocco | fruits and vegetables | chlorpyrifos  unauthorised substance - {pesticide residues} | Morocco,CRITIQUE,fruits and vegetables,alert notification,serious,Morocco,2023,9,1,RASFF
mercury in tuna loin from Spain | fish and fish products | mercury   - {heavy metals} | Spain,CRITIQUE,fish and fish products,information notification for attention,serious,Spain,2023,9,1,RASFF
Rotura de la cadena de frío en caballa congelada de Marruecos. Poor temperature control for frozen mackerel from Morocco. | fish and fish products |  | Morocco,CRITIQUE,fish and fish products,border rejection notification,not serious,Morocco,2023,9,1,RASFF
Pesticides residues in beans from Kenya | fruits and vegetables | carbofuran   - {pesticide residues} | Kenya,CRITIQUE,fruits and vegetables,border rejection notification,serious,Kenya,2023,9,1,RASFF
"Aflatoxins in rice originating from Pakistan, destination France | cereals and bakery products | Aflatoxin B1   - {mycotoxins} | Pakistan",CRITIQUE,cereals and bakery products,border rejection notification,serious,Pakistan,2023,9,1,RASFF
"ALOE EMODIN IN FOOD SUPPLEMENT | dietetic foods, food supplements and fortified foods | aloe-emodin prohibited substance - {composition} | Belgium",CRITIQUE,"dietetic foods, food supplements and fortified foods",alert notification,serious,Belgium,2023,9,1,RASFF
Ochratoxin A in organic rye flakes from Latvia | cereals and bakery products | ochratoxin A   - {mycotoxins} | Latvia,INFO,cereals and bakery products,information notification for follow-up,not serious,Latvia,2023,9,1,RASFF
"Aflatoxin in ground nutmeg  | herbs and spices | Aflatoxin B1   - {mycotoxins},aflatoxin total  - {mycotoxins} | Türkiye",CRITIQUE,herbs and spices,information notification for attention,serious,Türkiye,2023,9,1,RASFF
ETO in mix of powdered spices | herbs and spices | ethylene oxide   - {pesticide residues} | United Kingdom,CRITIQUE,herbs and spices,alert notification,serious,United Kingdom,2023,9,1,RASFF
"SESAME SEEDS FROM SUDAN WITH ABSENCE OF ORIGINAL CERTIFCATES | nuts, nut products and seeds |  | Sudan",CRITIQUE,"nuts, nut products and seeds",border rejection notification,not serious,Sudan,2023,9,1,RASFF
"SESAME SEEDS FROM SUDAN WITH ABSENCE OF ORIGINAL CERTIFCATES | nuts, nut products and seeds |  | Sudan",CRITIQUE,"nuts, nut products and seeds",border rejection notification,potential risk,Sudan,2023,9,1,RASFF
"SESAME SEEDS FROM SUDAN WITH ABSENCE OF OFFICIAL CERTIFICATES | nuts, nut products and seeds |  | Sudan",CRITIQUE,"nuts, nut products and seeds",border rejection notification,not serious,Sudan,2023,9,1,RASFF
"SESAME SEEDS FROM ETHIOPIA  WITH ABSENCE OF ORIGINAL CERTIFCATES | nuts, nut products and seeds |  | Ethiopia",CRITIQUE,"nuts, nut products and seeds",border rejection notification,not serious,Ethiopia,2023,9,1,RASFF
ochratoxin A (92 µg/kg - ppb) in ground nutmeg from Indonesia | herbs and spices | ochratoxin A   - {mycotoxins} | Indonesia,CRITIQUE,herbs and spices,border rejection notification,potentially serious,Indonesia,2023,9,1,RASFF
Pesticide residues of formetanate in peaches from Serbia | fruits and vegetables | formetanate   - {pesticide residues} | Serbia,CRITIQUE,fruits and vegetables,border rejection notification,no risk,Serbia,2023,9,1,RASFF
Listeria monocytogenes ST155 isolated from a clinical case associated with the consumption of smoked salmon from Lithuania | fish and fish products | Listeria monocytogenes  - {pathogenic micro-organisms} | Lithuania,CRITIQUE,fish and fish products,information notification for attention,serious,Lithuania,2023,9,1,RASFF
Allergen milk not declared in protein pancakemix | cereals and bakery products |  | Netherlands,CRITIQUE,cereals and bakery products,alert notification,serious,Netherlands,2023,9,1,RASFF
Exceeding the MRL of pesticide residue (linuron) in celery from Poland | fruits and vegetables | linuron   - {pesticide residues} | Poland,ATTENTION,fruits and vegetables,information notification for attention,potential risk,Poland,2023,9,1,RASFF
"Unauthorized novel food ingredient Cissus quadrangularis in food supplement from the Netherlands | dietetic foods, food supplements and fortified foods | novel food ingredient  unauthorised - {novel food} | Netherlands",ATTENTION,"dietetic foods, food supplements and fortified foods",information notification for follow-up,potential risk,Netherlands,2023,9,1,RASFF
"SESAME SEEDS FROM SUDAN WITH ABSENCE OF OFFICIAL CERTIFICATES | nuts, nut products and seeds |  | Sudan",CRITIQUE,"nuts, nut products and seeds",border rejection notification,potential risk,Sudan,2023,9,1,RASFF
"SALMONELLA IN SESAME SEEDS FROM NIGERIA | nuts, nut products and seeds | Salmonella   - {pathogenic micro-organisms} | Nigeria",CRITIQUE,"nuts, nut products and seeds",border rejection notification,serious,Nigeria,2023,9,1,RASFF
"Novel food betel nuts (Areca catechu) imported in Italy from Bangladesh | nuts, nut products and seeds |  | Bangladesh",CRITIQUE,"nuts, nut products and seeds",border rejection notification,potentially serious,Bangladesh,2023,9,1,RASFF
"Non-authorized Novel food betel nuts (Areca catechu) from Bangladesh | nuts, nut products and seeds |  | Bangladesh",CRITIQUE,"nuts, nut products and seeds",border rejection notification,potentially serious,Bangladesh,2023,9,1,RASFF
"SALMONELLA IN SESAME SEEDS FROM NIGERIA | nuts, nut products and seeds | Salmonella   - {pathogenic micro-organisms} | Nigeria",CRITIQUE,"nuts, nut products and seeds",border rejection notification,serious,Nigeria,2023,9,1,RASFF
NOVEL FOOD TRAMETES VERSICOLOR | fruits and vegetables |  | China,CRITIQUE,fruits and vegetables,border rejection notification,potential risk,China,2023,9,1,RASFF
ochratoxin A in paprika powder  | herbs and spices | ochratoxin A   - {mycotoxins} | ,CRITIQUE,herbs and spices,information notification for attention,serious,,2023,9,1,RASFF
"Salmonella spp. in organic lemon thyme from Italy | herbs and spices | Salmonella spp.  - {pathogenic micro-organisms} | Germany,Italy",CRITIQUE,herbs and spices,alert notification,serious,"Germany,Italy",2023,9,1,RASFF
Istamina oltre i limiti in filetti di acciughe in olio di oliva  Histamine beyond the limits in anchovy fillets in olive oil | fish and fish products | histamine   - {biological contaminants} | Italy,CRITIQUE,fish and fish products,alert notification,serious,Italy,2023,9,1,RASFF
"Aflatoxin in USA groundnuts | nuts, nut products and seeds | Aflatoxin B1   - {mycotoxins},aflatoxin total  - {mycotoxins} | United States",CRITIQUE,"nuts, nut products and seeds",border rejection notification,serious,United States,2023,9,1,RASFF
"In Protocol of results of sampling and analyses absent information about sampling of consignments and information about laboratories accreditation in accordance with the standard ISO/IEC 17025. | dietetic foods, food supplements and fortified foods |  | India",CRITIQUE,"dietetic foods, food supplements and fortified foods",border rejection notification,no risk,India,2023,9,1,RASFF
"In Protocol of results of sampling and analyses absent information about sampling of consignments and information about laboratories accreditation in accordance with the standard ISO/IEC 17025. | dietetic foods, food supplements and fortified foods |  | India",CRITIQUE,"dietetic foods, food supplements and fortified foods",border rejection notification,no risk,India,2023,9,1,RASFF
"Thiamethoxam and unauthorized substance tricyclazole in basmati rice from India | cereals and bakery products | thiamethoxam   - {pesticide residues},tricyclazole  unauthorised substance - {pesticide residues} | India",CRITIQUE,cereals and bakery products,border rejection notification,no risk,India,2023,9,1,RASFF
"glas fragment in cashew kernels from Vietnam | nuts, nut products and seeds |  | ",ATTENTION,"nuts, nut products and seeds",information notification for attention,potentially serious,,2023,9,1,RASFF
"Aflatoxine B1 in Paraguayen groundnuts kernels | nuts, nut products and seeds | Aflatoxin B1   - {mycotoxins},aflatoxin total  - {mycotoxins} | Paraguay",CRITIQUE,"nuts, nut products and seeds",information notification for attention,serious,Paraguay,2023,9,1,RASFF
"SESAME SEEDS FROM NIGERIA WITH ABSENCE OF ORIGINAL CERTIFCATES | nuts, nut products and seeds |  | Nigeria",CRITIQUE,"nuts, nut products and seeds",border rejection notification,potential risk,Nigeria,2023,9,1,RASFF
"SESAME SEEDS FROM NIGERIA WITH ABSENCE OF ORIGINAL CERTIFCATES | nuts, nut products and seeds |  | Nigeria",CRITIQUE,"nuts, nut products and seeds",border rejection notification,potential risk,Nigeria,2023,9,1,RASFF
"Sesame seeds from Nigeria without correct official certificate | nuts, nut products and seeds |  | Nigeria",CRITIQUE,"nuts, nut products and seeds",border rejection notification,potential risk,Nigeria,2023,9,1,RASFF
"SESAME SEEDS FROM ETHIOPIA WITH ABSENCE OF OFFICIAL CERTIFICATES | nuts, nut products and seeds |  | Ethiopia",CRITIQUE,"nuts, nut products and seeds",border rejection notification,potential risk,Ethiopia,2023,9,1,RASFF
"Salmonella spp. in sesame seeds from Nigeria | nuts, nut products and seeds | Salmonella spp.  - {pathogenic micro-organisms} | Nigeria",CRITIQUE,"nuts, nut products and seeds",border rejection notification,serious,Nigeria,2023,9,1,RASFF
Rice crackers from China with absence of original certificate | cereals and bakery products |  | China,CRITIQUE,cereals and bakery products,border rejection notification,potential risk,China,2023,9,1,RASFF
Ochratoxin A in spice preparation  | herbs and spices | ochratoxin A   - {mycotoxins} | ,CRITIQUE,herbs and spices,information notification for attention,serious,,2023,8,1,RASFF
Listeria monocytogenes in hot smoked salmon in pieces from Poland | fish and fish products |  | Poland,CRITIQUE,fish and fish products,alert notification,serious,Poland,2023,8,1,RASFF
unauthorised substance chlorpyriphos in plums from Poland | fruits and vegetables | chlorpyrifos  unauthorised substance - {pesticide residues} | Poland,CRITIQUE,fruits and vegetables,alert notification,potentially serious,Poland,2023,8,1,RASFF
Unfavourable identity checks for organic rice from Pakistan | cereals and bakery products |  | Pakistan,CRITIQUE,cereals and bakery products,border rejection notification,not serious,Pakistan,2023,8,1,RASFF
"In Protocol of results of sampling and analyses absent information about sampling of consignments and information about laboratories accreditation in accordance with the standard ISO/IEC 17025. | dietetic foods, food supplements and fortified foods |  | India",CRITIQUE,"dietetic foods, food supplements and fortified foods",border rejection notification,no risk,India,2023,8,1,RASFF
"In Protocol of results of sampling and analyses absent information about sampling of consignments and information about laboratories accreditation in accordance with the standard ISO/IEC 17025.  | dietetic foods, food supplements and fortified foods |  | India",CRITIQUE,"dietetic foods, food supplements and fortified foods",border rejection notification,no risk,India,2023,8,1,RASFF
"In Protocol of results of sampling and analyses absent information about sampling of consignments and information about laboratories accreditation in accordance with the standard ISO/IEC 17025 | dietetic foods, food supplements and fortified foods |  | India",CRITIQUE,"dietetic foods, food supplements and fortified foods",border rejection notification,no risk,India,2023,8,1,RASFF
Pesticide residues of chlorpyrifos in plum from Serbia | fruits and vegetables | chlorpyrifos   - {pesticide residues} | Serbia,CRITIQUE,fruits and vegetables,border rejection notification,potential risk,Serbia,2023,8,1,RASFF
Ochratoxin A in mulberries from Turkye | fruits and vegetables | ochratoxin A   - {mycotoxins} | Türkiye,CRITIQUE,fruits and vegetables,alert notification,serious,Türkiye,2023,8,1,RASFF
"Benzo(a)pyrene and polycyclic aromatic hydrocarbons (PAHs) in smoked fish from Ghana | fish and fish products | benzo(a)pyrene   - {environmental pollutants},polycyclic aromatic hydrocarbons sum of  - {environmental pollutants} | Ghana",CRITIQUE,fish and fish products,information notification for attention,serious,Ghana,2023,8,1,RASFF
Salmonella spp. in sea bass or sea bass (dicentrarchus labrax) 400/600 CroatiaSalmonella spp. in spigola o branzino (dicentrarchus labrax) 400/600 Croazia | fish and fish products | Salmonella   - {pathogenic micro-organisms} | Croatia,INFO,fish and fish products,information notification for follow-up,not serious,Croatia,2023,8,1,RASFF
"novel food non autorizzato (L-alpha-glycerylphosphorylcholine) in integratore alimentare//unauthorized novel food (L-alpha-glycerylphosphorylcholine) in food supplement | dietetic foods, food supplements and fortified foods |  | Italy",ATTENTION,"dietetic foods, food supplements and fortified foods",information notification for follow-up,potential risk,Italy,2023,8,1,RASFF
"Aflatoxin in unpasteurized almond kernels from the United States | nuts, nut products and seeds | Aflatoxin B1   - {mycotoxins},aflatoxin total  - {mycotoxins} | United States",CRITIQUE,"nuts, nut products and seeds",information notification for attention,serious,United States,2023,8,1,RASFF
"Aflatoxin B1 in peanuts from Argentina | nuts, nut products and seeds | Aflatoxin B1   - {mycotoxins},aflatoxin total  - {mycotoxins} | Argentina",CRITIQUE,"nuts, nut products and seeds",information notification for attention,serious,Argentina,2023,8,1,RASFF
Whole grain tortilla wraps from Belgium infested with moulds | cereals and bakery products |  | Belgium,INFO,cereals and bakery products,information notification for follow-up,not serious,Belgium,2023,8,1,RASFF
Benzalkonium chloride in savoy cabbage from Portugal | fruits and vegetables | benzalkonium chloride (BAC)   - {composition} | Portugal,ATTENTION,fruits and vegetables,information notification for attention,potentially serious,Portugal,2023,8,1,RASFF
NOVEL FOOD - Angelica sinensis origin China imported in Italy from Hong Kong | herbs and spices |  | China,CRITIQUE,herbs and spices,border rejection notification,potential risk,China,2023,8,1,RASFF
Importazione di NOVEL FOOD - Codonopsis pilosula | herbs and spices |  | China,CRITIQUE,herbs and spices,border rejection notification,potential risk,China,2023,8,1,RASFF
Mold in Turkish bread from Germany | cereals and bakery products |  | Netherlands,INFO,cereals and bakery products,information notification for follow-up,not serious,Netherlands,2023,8,1,RASFF
Presenza di FOSTHIAZATE superiore ai limiti consentiti in Patate//Presence of FOSTHIAZATE higher than the permitted limits in Potatoes | fruits and vegetables | fosthiazate   - {pesticide residues} | Italy,CRITIQUE,fruits and vegetables,information notification for attention,serious,Italy,2023,8,1,RASFF
"aflatoxins in Indonesian nutmeg | herbs and spices | Aflatoxin B1   - {mycotoxins},aflatoxin total  - {mycotoxins} | Indonesia",CRITIQUE,herbs and spices,border rejection notification,serious,Indonesia,2023,8,1,RASFF
"RESIDUES OF MULTIPLE UNAUTHORISED AND AUTHORISED PESTICIDES IN CHILI POWDER FROM BANGLADESH | herbs and spices | chlorpyrifos  unauthorised substance - {pesticide residues},fipronil  unauthorised substance - {pesticide residues},imidacloprid   - {pesticide residues},pyriproxyfen    - {pesticide residues},tebuconazole   - {pesticide residues},tolfenpyrad   - {pesticide residues} | Bangladesh",CRITIQUE,herbs and spices,border rejection notification,potentially serious,Bangladesh,2023,8,1,RASFF
Linuron in parsley root from Poland | fruits and vegetables | linuron   - {pesticide residues} | Poland,ATTENTION,fruits and vegetables,information notification for attention,potential risk,Poland,2023,8,1,RASFF
Unauthorised pesticide residue (bromide) in basmati rice from Pakistan. | cereals and bakery products | bromide   - {pesticide residues} | Pakistan,CRITIQUE,cereals and bakery products,alert notification,potential risk,Pakistan,2023,8,1,RASFF
"CHLORPYRIFOS superiore ai limiti stabiliti in  BANANE CHIPS provenienti dall'Olanda con origine Filippine//CHLORPYRIFOS exceeding established limits in BANANAS CHIPS from the Netherlands with Philippine origin | fruits and vegetables | chlorpyrifos   - {pesticide residues} | Italy,Philippines",CRITIQUE,fruits and vegetables,alert notification,serious,"Italy,Philippines",2023,8,1,RASFF
"Unauthorized substances in food supplement from the United States of America via Slovakia | dietetic foods, food supplements and fortified foods | androstenedione  unauthorised substance - {composition},dehydroepiandrosterone (DHEA)  unauthorised substance - {composition} | United States",CRITIQUE,"dietetic foods, food supplements and fortified foods",alert notification,serious,United States,2023,8,1,RASFF
"Novel food CBD sold online from Poland | dietetic foods, food supplements and fortified foods | cannabidiol (CBD)  unauthorised novel food ingredient - {novel food} | Poland",ATTENTION,"dietetic foods, food supplements and fortified foods",information notification for follow-up,potential risk,Poland,2023,8,1,RASFF
 acetamiprid above MRL in basmati rice from Pakistan | cereals and bakery products | acetamiprid   - {pesticide residues} | Pakistan,CRITIQUE,cereals and bakery products,border rejection notification,potentially serious,Pakistan,2023,8,1,RASFF
unauthorized substance chlorpyrifos in bulgur from Ukraine | cereals and bakery products | chlorpyrifos   - {pesticide residues} | Ukraine,CRITIQUE,cereals and bakery products,border rejection notification,potentially serious,Ukraine,2023,8,1,RASFF
"Presence of acetamiprid and imidacloprid above MRL in rice from Pakistan | cereals and bakery products | acetamiprid   - {pesticide residues},imidacloprid   - {pesticide residues} | Pakistan",CRITIQUE,cereals and bakery products,border rejection notification,potentially serious,Pakistan,2023,8,1,RASFF
Mercurio en Pagrus Pagrus de Marruecos. Mercury in Pagrus Pagrus from Morocco.  | fish and fish products | mercury   - {heavy metals} | Morocco,CRITIQUE,fish and fish products,information notification for attention,serious,Morocco,2023,8,1,RASFF
Mercurio en atún de Marruecos. Mercury in tuna from Morocco | fish and fish products | mercury   - {heavy metals} | Morocco,CRITIQUE,fish and fish products,information notification for attention,serious,Morocco,2023,8,1,RASFF
"Benzalkonium chloride and imazalil in lemons from Turkey | fruits and vegetables | benzalkonium chloride (BAC)   - {composition},imazalil   - {pesticide residues} | Türkiye",ATTENTION,fruits and vegetables,information notification for attention,potentially serious,Türkiye,2023,8,1,RASFF
Mercury in see bream (Sparus aurata) | fish and fish products | mercury   - {heavy metals} | Italy,CRITIQUE,fish and fish products,information notification for attention,serious,Italy,2023,8,1,RASFF
"Unauthorised substances carbofuran, chlorothalonil and profenofos in asparagus beans from Sri Lanka | fruits and vegetables | carbofuran   - {pesticide residues},chlorothalonil   - {pesticide residues},profenofos  unauthorised substance - {pesticide residues} | Sri Lanka",ATTENTION,fruits and vegetables,information notification for attention,potentially serious,Sri Lanka,2023,8,1,RASFF
"Ochratoxin in hulled sunflower seeds from Bulgaria | nuts, nut products and seeds | ochratoxin A   - {mycotoxins} | Bulgaria",CRITIQUE,"nuts, nut products and seeds",information notification for follow-up,serious,Bulgaria,2023,8,1,RASFF
Bacillus cereus in dried wood ear mushrooms from Vietnam | fruits and vegetables | Bacillus cereus  - {pathogenic micro-organisms} | Vietnam,ATTENTION,fruits and vegetables,information notification for follow-up,potential risk,Vietnam,2023,8,1,RASFF
"unauthorized novel food (L-alpha-glycerylphosphorylcholine) in dietary supplementnovel food non autorizzato (L-alfa-glicerilfosforilcolina) in integratore alimentare | dietetic foods, food supplements and fortified foods |  | ",ATTENTION,"dietetic foods, food supplements and fortified foods",information notification for attention,potential risk,,2023,8,1,RASFF
Benzalkonium chloride in grapefruits from Turkey | fruits and vegetables | benzalkonium chloride (BAC)   - {composition} | Türkiye,ATTENTION,fruits and vegetables,information notification for attention,potentially serious,Türkiye,2023,8,1,RASFF
Presence of mercury above legal limits in yellow-fin tuna from Spain | fish and fish products | mercury   - {heavy metals} | Spain,CRITIQUE,fish and fish products,information notification for attention,serious,Spain,2023,8,1,RASFF
"Pesticide residues in grape leaves from Egypt | fruits and vegetables | Azoxystrobin   - {pesticide residues},acetamiprid   - {pesticide residues},bifenthrin   - {pesticide residues},carbendazim   - {pesticide residues},chlorpyrifos   - {pesticide residues},difenoconazole   - {pesticide residues},diniconazole   - {pesticide residues},emamectin   - {pesticide residues},imidacloprid   - {pesticide residues},indoxacarb   - {pesticide residues},lambda-cyhalothrin   - {pesticide residues},lufenuron   - {pesticide residues},propiconazole   - {pesticide residues},thiophanate-methyl   - {pesticide residues} | Egypt",CRITIQUE,fruits and vegetables,border rejection notification,potential risk,Egypt,2023,8,1,RASFF
Parasitic infestation with Anisakis in frozen hake from Spain | fish and fish products | Anisakis  parasitic infestation with - {parasitic infestation} | Spain,INFO,fish and fish products,information notification for follow-up,not serious,Spain,2023,8,1,RASFF
Formetanate in fresh pepper from Türkiye  | fruits and vegetables | formetanate   - {pesticide residues} | Türkiye,CRITIQUE,fruits and vegetables,border rejection notification,serious,Türkiye,2023,8,1,RASFF
 chlorpyrifos-methyl in fresh lemons from Türkiye  | fruits and vegetables | chlorpyrifos-methyl  unauthorised substance - {pesticide residues} | Türkiye,CRITIQUE,fruits and vegetables,border rejection notification,serious,Türkiye,2023,8,1,RASFF
"Tricyclazole and Thiamethoxam in basmati rice from India | cereals and bakery products | thiamethoxam   - {pesticide residues},tricyclazole  unauthorised substance - {pesticide residues} | India",CRITIQUE,cereals and bakery products,border rejection notification,not serious,India,2023,8,1,RASFF
Rye bread from Denmark infested with moulds | cereals and bakery products |  | Denmark,INFO,cereals and bakery products,information notification for follow-up,not serious,Denmark,2023,8,1,RASFF
Wafer Stick - unauthorized additive | cereals and bakery products |  | Netherlands,CRITIQUE,cereals and bakery products,alert notification,serious,Netherlands,2023,8,1,RASFF
"Cyanide in cassava flour from Nigeria, via the Netherlands | fruits and vegetables | cyanide  high content - {biological contaminants} | Nigeria",CRITIQUE,fruits and vegetables,alert notification,serious,Nigeria,2023,8,1,RASFF
"Maximum residue limits exceeded for dimethoat and omethoat in fresh cherries | fruits and vegetables | dimethoate   - {pesticide residues},omethoate   - {pesticide residues} | Türkiye",ATTENTION,fruits and vegetables,information notification for attention,potentially serious,Türkiye,2023,8,1,RASFF
"suplement diety ze względu na skład spełnia kryterium definicji dla produktu leczniczego/// a food supplement due to its composition meets the definition criterion for a medicinal product  | dietetic foods, food supplements and fortified foods |  | Poland",ATTENTION,"dietetic foods, food supplements and fortified foods",information notification for attention,potential risk,Poland,2023,8,1,RASFF
Controllo d'identità sfavorevole in riso biologico dal Pakistan//Unfavorable identity check in organic rice from Pakistan | cereals and bakery products |  | Pakistan,CRITIQUE,cereals and bakery products,border rejection notification,not serious,Pakistan,2023,8,1,RASFF
"propargite (0,076 ± 0,038 mg/kg) in frozen raspberries from Ukraine | fruits and vegetables | propargite   - {pesticide residues} | Ukraine",CRITIQUE,fruits and vegetables,border rejection notification,not serious,Ukraine,2023,8,1,RASFF
"Aflatoxin in peanuts from Argentina | nuts, nut products and seeds | Aflatoxin B1   - {mycotoxins},aflatoxin total  - {mycotoxins} | Argentina",CRITIQUE,"nuts, nut products and seeds",information notification for attention,serious,Argentina,2023,8,1,RASFF
"Methomyl and oxamyl in watermelons from Morocco | fruits and vegetables | methomyl   - {pesticide residues},oxamyl   - {pesticide residues} | ",CRITIQUE,fruits and vegetables,information notification for attention,serious,,2023,8,1,RASFF
"Salmonella senftenberg in hulled sesame seeds from India | nuts, nut products and seeds | Salmonella Senftenberg  - {pathogenic micro-organisms} | India",CRITIQUE,"nuts, nut products and seeds",information notification for attention,serious,India,2023,8,1,RASFF
"Aflatoxin in USA groundnuts | nuts, nut products and seeds | Aflatoxin B1   - {mycotoxins},aflatoxin total  - {mycotoxins} | United States",CRITIQUE,"nuts, nut products and seeds",border rejection notification,serious,United States,2023,8,1,RASFF
"unauthorised novel food ingredients 5-HTP/Griffonia extract, N-Acetyl-L-Tyrosine,    N-Acetyl-L-Carnitin Hydrochlorid and too high caffeine content per daily dose in various food supplements from Germany | dietetic foods, food supplements and fortified foods | N-acetyl tyrosine  unauthorised substance - {composition},caffeine  too high content - {composition},illegal trade  suspicion - {not determined (other)} | Germany",CRITIQUE,"dietetic foods, food supplements and fortified foods",alert notification,potentially serious,Germany,2023,8,1,RASFF
1.8 mg/kg Cypermethrin in peppers from Uganda | fruits and vegetables | cypermethrin   - {pesticide residues} | Uganda,CRITIQUE,fruits and vegetables,border rejection notification,no risk,Uganda,2023,8,1,RASFF
0.21 mg/kg Lambda-Cyhalothrin in peppers from Uganda | fruits and vegetables | lambda-cyhalothrin   - {pesticide residues} | Uganda,CRITIQUE,fruits and vegetables,border rejection notification,serious,Uganda,2023,8,1,RASFF
"Unauthorised food colour in curry powder, from Vietnam. | herbs and spices | Sudan 4 unauthorised colour - {composition} | Vietnam",CRITIQUE,herbs and spices,alert notification,serious,Vietnam,2023,8,1,RASFF
"Labelling and identification deficiencies on apricot kernels from Greece  | nuts, nut products and seeds | cyanide  too high content - {biological contaminants} | Greece",ATTENTION,"nuts, nut products and seeds",information notification for follow-up,potential risk,Greece,2023,8,1,RASFF
Unauthorised substance monocrotophos in drumsticks (Moringa oleifera) from India  | fruits and vegetables | monocrotophos  unauthorised substance - {pesticide residues} | India,CRITIQUE,fruits and vegetables,border rejection notification,serious,India,2023,8,1,RASFF
Unauthorized substance monocrotophos in horseradish tree pods (Moringa oleifera) from India | fruits and vegetables | monocrotophos  unauthorised substance - {pesticide residues} | India,CRITIQUE,fruits and vegetables,border rejection notification,serious,India,2023,8,1,RASFF
"Border Rejection Sesame Seeds Due to Detection of Salmonella Newport | nuts, nut products and seeds | Salmonella spp.  - {pathogenic micro-organisms} | Pakistan",CRITIQUE,"nuts, nut products and seeds",border rejection notification,potential risk,Pakistan,2023,8,1,RASFF
"Aflatoxinas en almendras de Australia/Aflatoxins in almonds from Australia | nuts, nut products and seeds | Aflatoxin B1   - {mycotoxins},aflatoxin total  - {mycotoxins} | Australia",CRITIQUE,"nuts, nut products and seeds",border rejection notification,serious,Australia,2023,8,1,RASFF
"Unauthorized substance vardenafil in food supplement | dietetic foods, food supplements and fortified foods | vardenafil  unauthorised substance - {composition} | China",CRITIQUE,"dietetic foods, food supplements and fortified foods",alert notification,serious,China,2023,8,1,RASFF
"Famoxadone and  Propargite in Frozen diced Peppers from Egypt | fruits and vegetables | famoxadone   - {pesticide residues},propargite   - {pesticide residues} | Egypt",CRITIQUE,fruits and vegetables,border rejection notification,potentially serious,Egypt,2023,8,1,RASFF
Unauthorised pesticide residue chlorothalonil in organic acodado from Tanzania | fruits and vegetables | chlorothalonil   - {pesticide residues} | Tanzania,ATTENTION,fruits and vegetables,information notification for follow-up,potential risk,Tanzania,2023,8,1,RASFF
Chlorothalonil in sugar snap peas from Kenya via the Netherlands | fruits and vegetables | chlorothalonil   - {pesticide residues} | Kenya,ATTENTION,fruits and vegetables,information notification for attention,potentially serious,Kenya,2023,8,1,RASFF
Aflatoxins in curcuma from India | herbs and spices | Aflatoxin B1   - {mycotoxins} | India,CRITIQUE,herbs and spices,information notification for attention,serious,India,2023,8,1,RASFF
