texte,niveau,category,classification,risk_decision,origin,year,month,maroc_relevant
"Salmonella spp. in sesame seeds from Nigeria | nuts, nut products and seeds | Salmonella   - {pathogenic micro-organisms} | Nigeria",CRITIQUE,"nuts, nut products and seeds",border rejection notification,serious,Nigeria,2026,5,1
"MOAH in Palm Mid Fraction from Denmark // MOAH en aceite de Palma procedente de Dinamarca | fats and oils | mineral oil   - {environmental pollutants} | Germany,Malaysia",CRITIQUE,fats and oils,alert notification,potentially serious,"Germany,Malaysia",2024,3,0
"Pesticides residues in vine leaves from Iran | fruits and vegetables | chlorpyrifos  unauthorised substance - {pesticide residues},dithiocarbamates   - {pesticide residues},fenpropathrin   - {pesticide residues},penconazole   - {pesticide residues} | Iran",CRITIQUE,fruits and vegetables,information notification for attention,serious,Iran,2024,3,1
"unauthorised substance tolfenpyrad in mango and orange blossom-flavoured green tea from China, dispatched from Ukraine | cocoa and cocoa preparations, coffee and tea | tolfenpyrad   - {pesticide residues} | China",CRITIQUE,"cocoa and cocoa preparations, coffee and tea",border rejection notification,potential risk,China,2024,3,0
Mechanical instability of the product Enamel ladle from the Czech Republic | food contact materials | unfit for use as food contact material   - {migration} | Czechia,ATTENTION,food contact materials,information notification for follow-up,potential risk,Czechia,2024,3,0
Defect in packaging of sheep milk cheese | milk and milk products |  | Germany,ATTENTION,milk and milk products,information notification for follow-up,potential risk,Germany,2024,3,0
pesticide in courgette (green vegetable) from spain | fruits and vegetables | flonicamid   - {pesticide residues} | Spain,CRITIQUE,fruits and vegetables,alert notification,serious,Spain,2024,3,1
migration of aluminum from aluminum bottles with internal PP (polypropylene) lining | food contact materials | aluminium  migration - {composition} | China,ATTENTION,food contact materials,information notification for attention,potential risk,China,2024,3,0
"chlorpyrifos and lufenuron in spring onions from Egypt | fruits and vegetables | chlorpyrifos   - {pesticide residues},lufenuron   - {pesticide residues} | Egypt",ATTENTION,fruits and vegetables,information notification for follow-up,potentially serious,Egypt,2024,3,1
Listeria in cheese | milk and milk products |  | Netherlands,CRITIQUE,milk and milk products,alert notification,serious,Netherlands,2024,3,0
Listeria monocytogenes in concentrated goat's milk from the Netherlands  | milk and milk products | Listeria monocytogenes  - {pathogenic micro-organisms} | Netherlands,CRITIQUE,milk and milk products,information notification for attention,serious,Netherlands,2024,3,0
"Unauthorised novel food ingredient serrapeptase in a food supplement offered online | dietetic foods, food supplements and fortified foods |  | Czechia",ATTENTION,"dietetic foods, food supplements and fortified foods",information notification for follow-up,potential risk,Czechia,2024,3,1
"Unauthorised novel food ingredient serrapeptase in a food supplement offered online | dietetic foods, food supplements and fortified foods |  | United States",ATTENTION,"dietetic foods, food supplements and fortified foods",information notification for follow-up,potential risk,United States,2024,3,1
Chlorpyrifos in mixed salad from Republic of North Macedonia | fruits and vegetables | chlorpyrifos  unauthorised substance - {pesticide residues} | Republic of North Macedonia,CRITIQUE,fruits and vegetables,border rejection notification,potential risk,Republic of North Macedonia,2024,3,1
Listeria monocytogenes in smoked salmon from Denmark | fish and fish products |  | Denmark,CRITIQUE,fish and fish products,alert notification,serious,Denmark,2024,3,1
Salmonella Mbandaka (in 5 out of 5 samples) in rapeseed meal from Belarus | feed materials | Salmonella  Salmonella Mbandaka - {pathogenic micro-organisms} | Belarus,INFO,feed materials,information notification for attention,not serious,Belarus,2024,3,0
Coppa di Parma IGP contaminated with Listeria monocytogenes | meat and meat products (other than poultry) | Listeria monocytogenes  - {pathogenic micro-organisms} | Italy,CRITIQUE,meat and meat products (other than poultry),alert notification,serious,Italy,2024,3,0
"Rilevata presenza DNA specie suina in condimento per tagliatelle-salsa da cucina con zucchero proveniente dalla Cina //Presence of swine DNA detected in seasoning for tagliatelle-sauce with sugar from China | soups, broths, sauces and condiments | import  illegal - {adulteration / fraud} | China",INFO,"soups, broths, sauces and condiments",information notification for follow-up,not serious,China,2024,3,0
"Aflatoxins in figs from Türkiye | fruits and vegetables | Aflatoxin B1   - {mycotoxins},aflatoxin total  - {mycotoxins} | Türkiye",CRITIQUE,fruits and vegetables,border rejection notification,potentially serious,Türkiye,2024,3,1
Salmonella Infantis (in 3 out of 5 units) in fresh chicken thighs from Poland | poultry meat and poultry meat products | Salmonella infantis  - {pathogenic micro-organisms} | Poland,INFO,poultry meat and poultry meat products,information notification for attention,not serious,Poland,2024,3,0
Salmonella spp. in chicken drumsticks from Poland | poultry meat and poultry meat products | Salmonella spp   - {pathogenic micro-organisms} | Poland,INFO,poultry meat and poultry meat products,information notification for attention,not serious,Poland,2024,3,0
Dimetridazole in marinated chicken skewer | meat and meat products (other than poultry) |  | Thailand,INFO,meat and meat products (other than poultry),information notification for follow-up,not serious,Thailand,2024,3,0
chlorpyrifos in brewer's spent grain from Ukraine | feed materials | chlorpyrifos   - {pesticide residues} | Ukraine,ATTENTION,feed materials,information notification for attention,potentially serious,Ukraine,2024,3,0
Unauthorised pesticide residue (Dichlorvos) in yellow bell peppers from Spain. | fruits and vegetables | dichlorvos  unauthorised substance - {pesticide residues} | Spain,CRITIQUE,fruits and vegetables,information notification for attention,serious,Spain,2024,3,1
Carbonation causing cans of Kombucha to expand and burst | non-alcoholic beverages |  | Netherlands,ATTENTION,non-alcoholic beverages,information notification for follow-up,potential risk,Netherlands,2024,3,0
"Salmonella Infantis and misleading labelling of frozen meat preparation with added soy protein from Bulgaria | meat and meat products (other than poultry) | Salmonella infantis  - {pathogenic micro-organisms},labelling  incorrect - {labelling absent/incomplete/incorrect} | Bulgaria",CRITIQUE,meat and meat products (other than poultry),alert notification,serious,Bulgaria,2024,3,0
"Maximum residue levels exceeded for imidacloprid and acetamiprid in rice from Pakistan, via the Netherlands | cereals and bakery products | acetamiprid   - {pesticide residues},imidacloprid   - {pesticide residues} | Pakistan",ATTENTION,cereals and bakery products,information notification for follow-up,potential risk,Pakistan,2024,3,1
Mineral oil components (MOSH/MOAH) in rice from India | cereals and bakery products | mineral oil   - {environmental pollutants} | India,ATTENTION,cereals and bakery products,information notification for follow-up,potentially serious,India,2024,3,1
"elevati valori di aflatossine in pistacchi con guscio dall'Iran/Presence of Aflatoxins beyond the permitted limits in in-shell pistachios from Iran | nuts, nut products and seeds | Aflatoxin B1   - {mycotoxins},aflatoxin total  - {mycotoxins} | Iran",CRITIQUE,"nuts, nut products and seeds",border rejection notification,serious,Iran,2024,3,1
"Organic roasted pistachio nuts with aflatoxin | nuts, nut products and seeds | Aflatoxin B1   - {mycotoxins} | Italy,Türkiye",CRITIQUE,"nuts, nut products and seeds",alert notification,serious,"Italy,Türkiye",2024,3,1
riscontro coli stec su formaggio di capra/Escherichia Coli Stec found on raw milk goat's cheese | milk and milk products | Escherichia coli shigatoxin-producing  - {pathogenic micro-organisms} | France,CRITIQUE,milk and milk products,alert notification,serious,France,2024,3,0
"Glufosinate in grapes, from South-Africa | fruits and vegetables | pesticide residues   - {pesticide residues} | South Africa",CRITIQUE,fruits and vegetables,alert notification,serious,South Africa,2024,3,1
superamento limiti di mercurio in entrecote di tonno a pinne gialle congelato proveniente dalla spagna/exceeding mercury limits in frozen yellowfin tuna entrecote from Spain  | fish and fish products | mercury   - {heavy metals} | Spain,CRITIQUE,fish and fish products,alert notification,serious,Spain,2024,3,1
"Aflatoxin in Indian groundnuts | nuts, nut products and seeds | Aflatoxin B1   - {mycotoxins},aflatoxin total  - {mycotoxins} | India",CRITIQUE,"nuts, nut products and seeds",border rejection notification,serious,India,2024,3,1
"Non-stick coating comes off cake baking tray from China, via Poland | food contact materials | outer coating coming off  - {migration} | China",ATTENTION,food contact materials,information notification for follow-up,potential risk,China,2024,3,0
Allergen milk not mentioned in ingredient list of tortilla chips from Belgium | prepared dishes and snacks |  | Belgium,CRITIQUE,prepared dishes and snacks,alert notification,serious,Belgium,2024,3,0
"Presence of poultry, bovine and swine DNA in snack from China  | prepared dishes and snacks | import  illegal - {adulteration / fraud},protein poultry  - {composition} | China",ATTENTION,prepared dishes and snacks,information notification for attention,potential risk,China,2024,3,0
Undeclared allergen nuts in frangipanepoeder Patisco | cereals and bakery products |  | Netherlands,CRITIQUE,cereals and bakery products,alert notification,serious,Netherlands,2024,3,1
"Foreign bodies (pieces of metal) in licorice granules from the Islamic Republic of Iran | other food product / mixed |  | Germany,Iran",CRITIQUE,other food product / mixed,alert notification,serious,"Germany,Iran",2024,3,0
Presence of Hepatitis A virus in strawberries from Morocco // Presencia de Virus de Hepatitis A en fresas de Marruecos. | fruits and vegetables | hepatitis A virus   - {pathogenic micro-organisms} | Morocco,CRITIQUE,fruits and vegetables,alert notification,potentially serious,Morocco,2024,3,1
"Aflatoxine in spicy nuts | nuts, nut products and seeds | Aflatoxin B1   - {mycotoxins},aflatoxin total  - {mycotoxins} | Argentina",CRITIQUE,"nuts, nut products and seeds",alert notification,serious,Argentina,2024,3,1
Detection of listeria in smoked salmon  | fish and fish products | Listeria monocytogenes  - {pathogenic micro-organisms} | United Kingdom,CRITIQUE,fish and fish products,information notification for attention,serious,United Kingdom,2024,3,1
feed material soybean meal - declared as GMO free | feed materials | genetically modified  unauthorised - {genetically modified} | Ukraine,ATTENTION,feed materials,information notification for attention,potential risk,Ukraine,2024,3,0
"Aflatoxin in rice flour | nuts, nut products and seeds | Aflatoxin B1   - {mycotoxins},aflatoxin total  - {mycotoxins} | Cambodia,Denmark",CRITIQUE,"nuts, nut products and seeds",alert notification,serious,"Cambodia,Denmark",2024,3,1
"MOAH contamination in roasted coffee | cocoa and cocoa preparations, coffee and tea | mineral oil   - {environmental pollutants} | Ethiopia",CRITIQUE,"cocoa and cocoa preparations, coffee and tea",information notification for attention,serious,Ethiopia,2024,3,0
" Mismatch identification code in official certificate and in packaging for peanuts from Egypt | nuts, nut products and seeds |  | Egypt",CRITIQUE,"nuts, nut products and seeds",border rejection notification,not serious,Egypt,2024,3,1
Salmonella in petfood (dogchews) from Poland | pet food | Salmonella infantis  - {pathogenic micro-organisms} | Poland,CRITIQUE,pet food,alert notification,serious,Poland,2024,3,0
Unauthorized substance phosmet in pears from Turkïye | fruits and vegetables | phosmet  unauthorised substance | Türkiye,CRITIQUE,fruits and vegetables,border rejection notification,serious,Türkiye,2024,3,1
lead in ovine liver from United Kingdom | meat and meat products (other than poultry) | lead   - {heavy metals} | United Kingdom,INFO,meat and meat products (other than poultry),information notification for attention,not serious,United Kingdom,2024,3,0
Listeria in whole cooked shrimps | crustaceans and products thereof | Listeria monocytogenes  - {pathogenic micro-organisms} | Netherlands,CRITIQUE,crustaceans and products thereof,information notification for attention,serious,Netherlands,2024,3,0
"Instant Tea “Pandanus amaryllifolius leaves”- Unauthorized novel food from Thailand / Te “foglie di Pandano” -Novel Food non Autorizzato origine Thailandia | cocoa and cocoa preparations, coffee and tea |  | Thailand",CRITIQUE,"cocoa and cocoa preparations, coffee and tea",border rejection notification,potential risk,Thailand,2024,3,0
Salmonella Enteritidis in chilled poultry meat from Poland | poultry meat and poultry meat products | Salmonella Enteritidis  - {pathogenic micro-organisms} | Poland,CRITIQUE,poultry meat and poultry meat products,information notification for attention,serious,Poland,2024,3,0
"Detection of a pesticide on fennel seeds  | nuts, nut products and seeds | chlorpyrifos  unauthorised substance - {pesticide residues} | United Arab Emirates",ATTENTION,"nuts, nut products and seeds",information notification for attention,potentially serious,United Arab Emirates,2024,3,1
Unauthorised novel food ingredient HHC in fruit gums from the Netherlands | confectionery |  | Netherlands,CRITIQUE,confectionery,alert notification,serious,Netherlands,2024,3,0
"Irregular presence of bovine, porcine, chicken and turkey DNA in Chinese food preparationsPresenza irregolare di DNA bovino, suino, pollo e tacchino in preparazioni alimentari cinesi | prepared dishes and snacks | import  illegal - {adulteration / fraud} | China",INFO,prepared dishes and snacks,information notification for follow-up,not serious,China,2024,3,0
"Aflatoxin B1 in groundnutkernels from Paraquay | nuts, nut products and seeds | Aflatoxin B1   - {mycotoxins},aflatoxin total  - {mycotoxins} | Paraguay",CRITIQUE,"nuts, nut products and seeds",information notification for attention,serious,Paraguay,2024,3,1
Norovirus in oysters from France | crustaceans and products thereof | norovirus   - {pathogenic micro-organisms} | France,CRITIQUE,crustaceans and products thereof,alert notification,serious,France,2024,3,0
Depasire LMA pesticid chlorpirifos in POMELO origine CHINA/Exceeding LMA pesticid chlorpirifos in POMELO  CHINA | fruits and vegetables | chlorpyrifos   - {pesticide residues} | China,ATTENTION,fruits and vegetables,information notification for attention,potentially serious,China,2024,3,1
Migration of primary aromatic amines (PAAs) in a Nylon Masher | food contact materials | primary aromatic amines  migration - {migration} | China,CRITIQUE,food contact materials,border rejection notification,potential risk,China,2024,3,0
Shiga toxin-producing Escherichia coli (STEC) in hamburger patties from Germany | meat and meat products (other than poultry) | Escherichia coli shigatoxin-producing  - {pathogenic micro-organisms} | Germany,ATTENTION,meat and meat products (other than poultry),information notification for follow-up,potentially serious,Germany,2024,3,0
Lead in salami from Italy | meat and meat products (other than poultry) | lead   - {heavy metals} | Italy,ATTENTION,meat and meat products (other than poultry),information notification for attention,potentially serious,Italy,2024,3,0
"Aflatoxin in USA groundnuts | nuts, nut products and seeds | Aflatoxin B1   - {mycotoxins},aflatoxin total  - {mycotoxins} | United States",CRITIQUE,"nuts, nut products and seeds",border rejection notification,serious,United States,2024,3,1
Listeria in meat from Belgium | meat and meat products (other than poultry) | Listeria monocytogenes  - {pathogenic micro-organisms} | Belgium,ATTENTION,meat and meat products (other than poultry),information notification for attention,potentially serious,Belgium,2024,3,0
Salmonella spp. in chicken meat preparations from Brazil. | poultry meat and poultry meat products | Salmonella spp   - {pathogenic micro-organisms} | Brazil,CRITIQUE,poultry meat and poultry meat products,border rejection notification,serious,Brazil,2024,3,0
Plastic pieces in cookies from Belgium | cereals and bakery products |  | Belgium,CRITIQUE,cereals and bakery products,alert notification,potentially serious,Belgium,2024,3,1
"Unauthorised substances acephate, methamidophos and triazophos in dragon fruit from Indonesia | fruits and vegetables | acephate  unauthorised substance - {pesticide residues},methamidophos  unauthorised substance - {pesticide residues},pyraclostrobin   - {pesticide residues},triazophos   - {pesticide residues} | Indonesia",INFO,fruits and vegetables,information notification for attention,not serious,Indonesia,2024,3,1
Salmonella in chicken nuggets from Germany | poultry meat and poultry meat products | Salmonella   - {pathogenic micro-organisms} | Germany,CRITIQUE,poultry meat and poultry meat products,alert notification,serious,Germany,2024,3,0
Détection de E.COLI STEC  | milk and milk products | Escherichia coli shigatoxin-producing suspicion - {pathogenic micro-organisms} | France,CRITIQUE,milk and milk products,alert notification,serious,France,2024,3,0
Shigatoxin-producing Escherichia coli (STEC) in cheese from France | milk and milk products |  | France,CRITIQUE,milk and milk products,alert notification,serious,France,2024,3,0
Consignment of crackers with meat extract and 2 sauces passed BCP without veterinary checks | other food product / mixed |  | Taiwan,ATTENTION,other food product / mixed,information notification for follow-up,potential risk,Taiwan,2024,3,0
Unauthorized additive EDTA in pickled turnips from Egypt | fruits and vegetables |  | Egypt,ATTENTION,fruits and vegetables,information notification for follow-up,potential risk,Egypt,2024,3,1
"Niedozwolone substancje w suplementach diety dystrybuowanych przez firmę z Wielkiej Brytanii/ Polski/// Prohibited substances in food supplements distributed by a company from Great Britain/Poland | dietetic foods, food supplements and fortified foods |  | United States",CRITIQUE,"dietetic foods, food supplements and fortified foods",information notification for attention,serious,United States,2024,3,1
Elevated Hydrocyanic Acid in Cassava Flour | cereals and bakery products | cyanide  high content - {biological contaminants} | Ghana,ATTENTION,cereals and bakery products,information notification for follow-up,potential risk,Ghana,2024,3,1
Hepatitis E in pepperoni sausage from Finland  | meat and meat products (other than poultry) |  | Finland,CRITIQUE,meat and meat products (other than poultry),information notification for attention,serious,Finland,2024,3,0
"stwierdzenie przekroczenia NDP pozostałości pestycydu – chlorku  didecylodimetyloamonu (na poziomie 0,438 mg/kg ± 0,219) w Grejpfrutach z Turcji // exceeding the MRL for pesticide residues - didecyldimethylammonium chloride in Grapefruits from Türkiye | fruits and vegetables | didecyldimethylammonium chloride (DDAC)   - {pesticide residues} | Türkiye",INFO,fruits and vegetables,information notification for attention,not serious,Türkiye,2024,3,1
Mercurio en pez espada procedente de España / Mercury in swordfish from Spain | fish and fish products | mercury   - {heavy metals} | Spain,CRITIQUE,fish and fish products,alert notification,serious,Spain,2024,3,1
HHC in fruit gums from the Czech Republic | confectionery |  | Czechia,CRITIQUE,confectionery,alert notification,potentially serious,Czechia,2024,3,0
Foreign bodies (plastic parts) in the chocolate coating of ice cream from Germany   | ices and desserts |  | Germany,CRITIQUE,ices and desserts,alert notification,serious,Germany,2024,3,0
"Aflatoxins in shelled pistachios originating from Iran in transfer from Kipi Kipi | nuts, nut products and seeds | Aflatoxin B1   - {mycotoxins},aflatoxin total  - {mycotoxins} | Iran",CRITIQUE,"nuts, nut products and seeds",border rejection notification,serious,Iran,2024,3,1
Exceeding of MRL for propargite in fresh apples from Ukraine | fruits and vegetables | propargite   - {pesticide residues} | Ukraine,ATTENTION,fruits and vegetables,information notification for attention,potential risk,Ukraine,2024,3,1
polpi dall'India/Cadmium in frozen Octopus (Octopus membranaceus) from India | cephalopods and products thereof | cadmium   - {heavy metals} | India,CRITIQUE,cephalopods and products thereof,border rejection notification,serious,India,2024,3,0
Presence of foreign bodies (metal particles) in mixed salads.  | prepared dishes and snacks |  | France,CRITIQUE,prepared dishes and snacks,alert notification,potential risk,France,2024,3,0
"norovirus (GI and GII /2g) in live oysters (Magallana gigas) from Sweden, with raw material from Spain | bivalve molluscs and products thereof | norovirus   - {pathogenic micro-organisms} | Spain",ATTENTION,bivalve molluscs and products thereof,information notification for attention,potentially serious,Spain,2024,3,0
"Salmonella (wykryto/25 g w 1 z 5 próbek) w nasionach sezamu z Indii /// Salmonella (in 1 of 5 samples) in sesame seeds from India | nuts, nut products and seeds | Salmonella   - {pathogenic micro-organisms} | India",CRITIQUE,"nuts, nut products and seeds",border rejection notification,serious,India,2024,3,1
 Histamine in fresh vacuum-packed yellowfin tuna loin from Sri Lanka | fish and fish products | histamine   - {biological contaminants} | Sri Lanka,CRITIQUE,fish and fish products,information notification for attention,serious,Sri Lanka,2024,3,1
"Pesticide residues in pears | fruits and vegetables | lambda-cyhalothrin   - {pesticide residues},tebuconazole   - {pesticide residues} | Spain",CRITIQUE,fruits and vegetables,alert notification,serious,Spain,2024,3,1
"aflatoxins and fumonisines in maize flour from Togo | cereals and bakery products | Aflatoxin B1   - {mycotoxins},aflatoxin total  - {mycotoxins},fumonisins   - {mycotoxins} | Togo",CRITIQUE,cereals and bakery products,information notification for attention,serious,Togo,2024,3,1
Salmonella in chicken fillet tenderloins from the Netherlands | poultry meat and poultry meat products | Salmonella Enteritidis  - {pathogenic micro-organisms} | Netherlands,CRITIQUE,poultry meat and poultry meat products,information notification for attention,serious,Netherlands,2024,3,0
"High level of niacin (nicotinic acid) in food supplement from USA | dietetic foods, food supplements and fortified foods |  | United States",CRITIQUE,"dietetic foods, food supplements and fortified foods",information notification for attention,serious,United States,2024,3,1
Emamectin levels exceeded in vine leaves from Turkey | fruits and vegetables | emamectin   - {pesticide residues} | Türkiye,CRITIQUE,fruits and vegetables,border rejection notification,no risk,Türkiye,2024,3,1
Sulphite - too high content of | crustaceans and products thereof | sulphite  too high content - {food additives and flavourings} | Ecuador,INFO,crustaceans and products thereof,information notification for attention,not serious,Ecuador,2024,3,0
Too much Ochratoxin A in dried figs from Turkiye | fruits and vegetables | ochratoxin A   - {mycotoxins} | Türkiye,CRITIQUE,fruits and vegetables,border rejection notification,serious,Türkiye,2024,3,1
"Imidacloprid and Thiamethoxam above MRL in Basmati Rice from Pakistan | cereals and bakery products | Imidaclopride   - {pesticide residues},thiamethoxam   - {pesticide residues} | Pakistan",CRITIQUE,cereals and bakery products,border rejection notification,serious,Pakistan,2024,3,1
"ochratoxin A in soybeans from Canada | nuts, nut products and seeds | ochratoxin A   - {mycotoxins} | Canada",ATTENTION,"nuts, nut products and seeds",information notification for attention,potentially serious,Canada,2024,3,1
"Chlorpyrifos and Dimethoate in Oranges from Egypt | fruits and vegetables | chlorpyrifos  unauthorised substance - {pesticide residues},dimethoate   - {pesticide residues} | Egypt",CRITIQUE,fruits and vegetables,information notification for attention,serious,Egypt,2024,3,1
Dioxines in palm fatty acids from Spain | fats and oils | dioxins   - {environmental pollutants} | Spain,ATTENTION,fats and oils,information notification for attention,potential risk,Spain,2024,3,0
Salmonella Seftenberg in feed material (sunflower cake) from Ukraine | feed materials | Salmonella Senftenberg  - {pathogenic micro-organisms} | Ukraine,ATTENTION,feed materials,information notification for attention,potentially serious,Ukraine,2024,3,0
Genetically modified rice in rice noodles from Vietnam | cereals and bakery products | genetically modified  unauthorised - {genetically modified} | Vietnam,ATTENTION,cereals and bakery products,information notification for attention,potential risk,Vietnam,2024,3,1
Norovirus in oysters from The Netherlands | bivalve molluscs and products thereof | norovirus   - {pathogenic micro-organisms} | Netherlands,CRITIQUE,bivalve molluscs and products thereof,information notification for attention,serious,Netherlands,2024,3,0
Norovirus in oysters | bivalve molluscs and products thereof | norovirus   - {pathogenic micro-organisms} | Ireland,ATTENTION,bivalve molluscs and products thereof,information notification for attention,potentially serious,Ireland,2024,3,0
Ethylene oxide (sum) in laurel leaves from Türkiye | herbs and spices | ethylene oxide   - {pesticide residues} | Türkiye,CRITIQUE,herbs and spices,information notification for attention,serious,Türkiye,2024,3,1
Maximum zinc content exceeded in complete feed for piglets from Germany | feed materials | zinc  too high content - {composition} | Germany,INFO,feed materials,information notification for follow-up,not serious,Germany,2024,3,0
"Excessive content of vitamin D in Olive Drops (food supplement) for infants from Germany | dietetic foods, food supplements and fortified foods | vitamin D  too high content - {composition} | Germany",CRITIQUE,"dietetic foods, food supplements and fortified foods",alert notification,serious,Germany,2024,3,1
Migration of primary aromatic amines (PAAs) from Kitchen Tongs | food contact materials | primary aromatic amines  migration - {migration} | China,CRITIQUE,food contact materials,border rejection notification,potential risk,China,2024,3,0
high levels of pesticides in vine leaves from Turkey | fruits and vegetables | pyrimethanil   - {pesticide residues} | Türkiye,CRITIQUE,fruits and vegetables,border rejection notification,potentially serious,Türkiye,2024,3,1
"High level of acrylamide in crispy, extruded flatbread | cereals and bakery products | acrylamide  high level - {industrial contaminants} | Germany",CRITIQUE,cereals and bakery products,alert notification,serious,Germany,2024,3,1
IMPORT OF ALCOHOLIC DRING 5% WITH EXCEEDED BEST BEFORE DATE FROM POLAND VIA ISRAEL | alcoholic beverages |  | Poland,CRITIQUE,alcoholic beverages,border rejection notification,no risk,Poland,2024,3,0
"Identitiy checks - mismatch identification code in test report and in packaging | soups, broths, sauces and condiments |  | India",CRITIQUE,"soups, broths, sauces and condiments",border rejection notification,no risk,India,2024,3,0
Identitiy checks - mismatch identification code in test report and in packaging | herbs and spices |  | India,CRITIQUE,herbs and spices,border rejection notification,no risk,India,2024,3,1
Identitiy checks - mismatch identification code in test report and in packaging of cumin from India | herbs and spices |  | India,CRITIQUE,herbs and spices,border rejection notification,no risk,India,2024,3,1
Identitiy checks - mismatch identification code in test report and in packaging | herbs and spices |  | India,CRITIQUE,herbs and spices,border rejection notification,no risk,India,2024,3,1
Identitiy checks - mismatch identification code in test report and in packaging | herbs and spices |  | India,CRITIQUE,herbs and spices,border rejection notification,no risk,India,2024,3,1
Identitiy checks - mismatch identification code in test report and in packaging | herbs and spices |  | India,CRITIQUE,herbs and spices,border rejection notification,no risk,India,2024,3,1
Identitiy checks - mismatch identification code in test report and in packaging | herbs and spices |  | India,CRITIQUE,herbs and spices,border rejection notification,no risk,India,2024,3,1
"Pesticide' residues :Acetamipirid, Ethion, Fipronil (sum fipronil + sulfone metabolite)  in Capsicum annuum from India | fruits and vegetables | acetamiprid   - {pesticide residues},ethion   - {pesticide residues},fipronil  unauthorised substance - {pesticide residues} | India",CRITIQUE,fruits and vegetables,border rejection notification,serious,India,2024,3,1
"Unsatisfactory labelling and elevated benzoic acid in guarana-flavoured soft drink from Brazil, dispatched from the United Kingdom | non-alcoholic beverages | E 210 - benzoic acid  too high content - {food additives and flavourings} | Brazil",ATTENTION,non-alcoholic beverages,information notification for attention,potential risk,Brazil,2024,3,0
"Aflatoxin B1 (2,2 ppb) in groundnut kernels from Argentina | nuts, nut products and seeds | Aflatoxin B1   - {mycotoxins} | Argentina",CRITIQUE,"nuts, nut products and seeds",information notification for attention,serious,Argentina,2024,3,1
"Pyrrolizidine alkaloids in cumin from India, via Poland | herbs and spices | pyrrolizidine alkaloids   - {natural toxins (other)} | India",CRITIQUE,herbs and spices,alert notification,potentially serious,India,2024,3,1
"Salmonella spp. in sliced almonds from Spain | fruits and vegetables | Salmonella   - {pathogenic micro-organisms},Salmonellen   - {pathogenic micro-organisms} | Spain",CRITIQUE,fruits and vegetables,alert notification,serious,Spain,2024,3,1
Listeria monocytogenes in smoked salmon flakes | fish and fish products |  | Netherlands,CRITIQUE,fish and fish products,alert notification,serious,Netherlands,2024,3,1
Norovirus GII in Goma Wakame (antipasto giapponese di alghe congelato) origine Taiwan//Norovirus GII in Goma Wakame (Japanese frozen seaweed appetizer) origin Taiwan | fruits and vegetables | norovirus   - {pathogenic micro-organisms} | Taiwan,CRITIQUE,fruits and vegetables,information notification for attention,serious,Taiwan,2024,3,1
"Pesticide residues in spring onion from Egypt, via Italy | fruits and vegetables | carbofuran   - {pesticide residues} | Egypt",CRITIQUE,fruits and vegetables,alert notification,potentially serious,Egypt,2024,3,1
Salmonella spp in wild boar burger / steak haché de sanglier | meat and meat products (other than poultry) | Salmonella   - {non-pathogenic micro-organisms} | Netherlands,CRITIQUE,meat and meat products (other than poultry),information notification for attention,serious,Netherlands,2024,3,0
"Listeria monocytogenes in pistachio powder from Turkey, via France | nuts, nut products and seeds | Listeria monocytogenes  - {pathogenic micro-organisms} | Türkiye",CRITIQUE,"nuts, nut products and seeds",alert notification,potentially serious,Türkiye,2024,3,1
"Salmonella spp. in sesame paste from Türkiye | nuts, nut products and seeds | Salmonella spp   - {pathogenic micro-organisms} | Türkiye",CRITIQUE,"nuts, nut products and seeds",information notification for attention,serious,Türkiye,2024,3,1
"Oznaki zapleśnienia oraz zanieczyszczenia organiczne i 1 element tworzywa sztucznego w malinie mrożonej z Ukrainy/// Signs of mold, organic contamination and plastic in frozen raspberries from Ukraine | fruits and vegetables | moulds  infested with - {non-pathogenic micro-organisms} | Ukraine",CRITIQUE,fruits and vegetables,border rejection notification,potentially serious,Ukraine,2024,3,1
"Mycotoxins and Listeria monocytogenes in pistachio powder from France | nuts, nut products and seeds | Aflatoxin B1   - {mycotoxins},Listeria monocytogenes  - {pathogenic micro-organisms},aflatoxin total  - {mycotoxins},ochratoxin A   - {mycotoxins} | France",CRITIQUE,"nuts, nut products and seeds",alert notification,potentially serious,France,2024,3,1
"Pesticides residues in cow peas from Madagascar | fruits and vegetables | carbaryl   - {pesticide residues},chlorpyrifos  unauthorised substance - {pesticide residues},dimethoate   - {pesticide residues} | Madagascar",CRITIQUE,fruits and vegetables,border rejection notification,serious,Madagascar,2024,3,1
Norovirus in oysters from France | bivalve molluscs and products thereof | norovirus   - {pathogenic micro-organisms} | France,ATTENTION,bivalve molluscs and products thereof,information notification for attention,potentially serious,France,2024,3,0
Molluscs not mentioned on the label of brioche | cereals and bakery products |  | Netherlands,CRITIQUE,cereals and bakery products,alert notification,serious,Netherlands,2024,3,1
"Salmonella enteritidis in frozen duck breast from Hungary | poultry meat and poultry meat products | Salmonella Enteritidis  - {pathogenic micro-organisms},Salmonella spp   - {pathogenic micro-organisms} | Hungary",ATTENTION,poultry meat and poultry meat products,information notification for follow-up,potential risk,Hungary,2024,3,0
"Glycidyl Esters in Dietary Supplement Pills | dietetic foods, food supplements and fortified foods | glycidyl esters   - {industrial contaminants} | Romania",CRITIQUE,"dietetic foods, food supplements and fortified foods",alert notification,serious,Romania,2024,3,1
